height,sd3_weight
65,5.583
66,5.756
67,5.925
68,6.091
69,6.254
70,6.414
71,6.572
72,6.728
73,6.881
74,7.031
75,7.177
76,7.321
77,7.466
78,7.615
79,7.769
80,7.929
81,8.098
82,8.274
83,8.456
84,8.644
85,8.837
86,9.032
87,9.227
88,9.421
89,9.614
90,9.805
91,9.994
92,10.183
93,10.372
94,10.561
95,10.751
96,10.943
97,11.137
98,11.336
99,11.538
100,11.747
101,11.962
102,12.184
103,12.414
104,12.65
105,12.893
106,13.143
107,13.401
108,13.667
109,13.942
110,14.223
111,14.511
112,14.804
113,15.103
114,15.406
115,15.712
116,16.021
117,16.329
118,16.639
119,16.948
120,17.256
